Song,Duration,Familiarity,Loudness,Tempo
Gypsy Woman (La Da Dee),,,,
Reunited,267.1,33.065,16.4,151.7
Cherish,,,,
Diamonds,,,,
Mockin' Bird Hill,,,,
Forever,363.6,89.269,4.4,140.0
Electric Avenue,,,,
Push the Button,,,,
All I Want For Christmas is You,,,,
Bubbly,,,,
Israelites,,,,
Papa Was a Rolling Stone,,,,
Brass In Pocket (I'm Special),,,,
On a Slow Boat to China,,,,
Makes Me Wonder,,,,
I Can't Go For That (No Can Do),,,,
Every Little Thing She Does is Magic,,,,
You Get What You Give,,,,
Happy Together,,,,
Broken Wings,,,,
Down Hearted Blues,,,,
We Built This City,,,,
Hopelessly Devoted to You,,,,
Gimme More,,,,
Another Day,,,,
All Good Things (Come to an End),,,,
On My Own,235.1,84.56,6.6,95.0
Scream & Shout,,,,
Let's Get it On,,,,
Travellin' Band,,,,
Stay,,,,
Everybody's Somebody's Fool,,,,
I Want Your Sex,,,,
I Shot the Sheriff,,,,
Fast Car,,,,
Don't Give Up On Us,,,,
True Blue,,,,
These Words,377.3,90.097,7.3,97.3
We No Speak Americano,,,,
Silence is Golden,,,,
Oh Carol,,,,
Glory of Love,,,,
Can the Can,,,,
Wishing Well,,,,
Clocks,,,,
Rock Your Body,,,,
Go West,,,,
I've Heard That Song Before,,,,
A Fifth of Beethoven,,,,
Sultans of Swing,,,,
No Diggity,,,,
Buttons,,,,
Mony Mony,,,,
Zombie,,,,
I Knew You Were Waiting (For Me),,,,
Groove is in the Heart,,,,
Best of My Love,,,,
The Only Way is Up,,,,
The Reflex,,,,
Wake Me Up,590.0,43.545,8.7,136.8
Blockbuster,,,,
Long Cool Woman in a Black Dress,,,,
From a Jack to a King,,,,
Sorry,,,,
Praying For Time,281.3,80.311,8.2,127.8
This Ole House,,,,
TRUE,151.6,62.425,14.5,91.6
Break Your Heart,,,,
The Last Time,,,,
Somebody's Watching Me,,,,
The Bad Touch,,,,
Royals,,,,
The Lemon Tree,,,,
All Right Now,,,,
I'd Like to Teach the World to Sing,,,,
Amazing Grace,192.7,46.69,10.7,123.5
Petite Fleur (Little Flower),,,,
Rags to Riches,,,,
Born in the USA,,,,
The Fly,,,,
Goodbye,,,,
Never Leave You (Uh Oooh Uh Oooh),,,,
Thank You,243.6,63.134,20.5,74.8
What I've Done,,,,
Waiting For a Girl Like You,,,,
Dancing in the Street,,,,
Eight Days a Week,,,,
Incomplete,,,,
My Guy,,,,
Daniel,,,,
With You,,,,
How Do You Do!,,,,
Deja Vu,,,,
Na Na Hey Hey (Kiss Him Goodbye),,,,
Your Woman,,,,
Jack & Diane,,,,
Ben,,,,
Blood on the Dance Floor,,,,
Breaking Up is Hard to Do,,,,
"On the Atchison, Topeka & the Santa Fe",,,,
Radio Ga Ga,,,,
You Should Be Dancing,,,,
Bei Mir Bist Du Schoen,,,,
Twist & Shout,,,,
Ballerina,,,,
Daddy,,,,
Replay,,,,
"I Do, I Do, I Do, I Do, I Do",,,,
Sweet Home Alabama,,,,
What Have I Done to Deserve This,,,,
Ayo Technology,,,,
Master Blaster (Jammin'),,,,
Mamma Mia,,,,
Lady (Hear Me Tonight),,,,
"Bye Bye, Blackbird",,,,
You Sexy Thing,,,,
Turn! Turn! Turn! (To Everything There is a Season),,,,
"We Three (My Echo, My Shadow & Me)",,,,
Don't Tell Me,229.1,67.5,8.2,208.4
Think Twice,,,,
"(Shake, Shake, Shake) Shake Your Booty",,,,
El Condor Pasa (If I Could),,,,
(I Just) Died in Your Arms Tonight,,,,
Get it On,,,,
Eve of Destruction,,,,
She's Not You,,,,
He'll Have to Go,,,,
Bye Bye Love,,,,
"Sunday, Monday or Always",,,,
Work It,,,,
American Life,,,,
Mambo Italiano,155.1,35.93,10.6,214.0
Nobody Does it Better,,,,
One Moment in Time,,,,
Owner of a Lonely Heart,,,,
1973,,,,
It's All Coming Back to Me Now,,,,
More Than I Can Say,,,,
Do the Bartman,,,,
Don't Stand So Close to Me,,,,
I Saw Mommy Kissing Santa Claus,,,,
It's My Party,136.5,60.693,9.1,129.1
You're Breakin' My Heart,,,,
That Old Black Magic,,,,
Why Do Fools Fall in Love?,,,,
Tears of a Clown,,,,
Rude boy,,,,
Every Morning,,,,
Wherever You Will Go,,,,
You Are the Sunshine of My Life,,,,
Lean On Me,,,,
Again,208.1,58.518,5.4,140.6
"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",,,,
The Hero,,,,
Running Bear,,,,
Rock the Boat,,,,
Stairway to Heaven,,,,
Spice Up Your Life,,,,
Suicide Blonde,,,,
MacArthur Park,,,,
3am Eternal,,,,
Coco Jamboo,,,,
Always Be My Baby,,,,
Over & Over,,,,
My Life Would Suck Without You,230.6,68.681,6.0,135.9
November Rain,,,,
Two Princes,,,,
Since U Been Gone,,,,
No More 'I Love Yous',,,,
Substitute,,,,
I Know You Want Me (calle Ocho),,,,
Bootylicious,,,,
Some Enchanted Evening,137.2,54.733,11.7,119.4
Just Give Me a Reason,,,,
Roar,,,,
Back to Life (However Do You Want Me),,,,
By the Way,,,,
It Don't Come Easy,,,,
A Different Corner,,,,
Baby Boy,,,,
When Will I See You Again?,,,,
Switch,,,,
Perfect,,,,
Alone,,,,
Minnie the Moocher,,,,
Rock DJ,,,,
At the Hop,,,,
Strange Fruit,258.4,49.895,6.1,81.5
What'd I Say,174.3,38.783,10.4,113.1
You You You,,,,
Unpretty,,,,
Pretend,167.1,68.569,17.5,100.8
I Wanna Love You,,,,
Fairground,,,,
Everybody Loves Somebody,,,,
Mickey,,,,
Don't Let Go (Love),,,,
My Boy Lollipop,,,,
Kiss Kiss,,,,
Green Onions,,,,
Walk This Way,,,,
Tha Crossroads,,,,
La Copa De La Vida,,,,
Toy Soldiers,,,,
Respectable,,,,
Learnin' the Blues,,,,
Tutti Frutti,,,,
Have You Ever Seen the Rain?,,,,
Roll With It,,,,
Patience,402.4,84.409,5.5,122.8
Stop! in the Name of Love,,,,
I'm Outta Love,,,,
Band of Gold,,,,
You've Got a Friend,,,,
A Whole New World (Aladdin's Theme),,,,
I'm Real,263.2,81.684,8.1,83.5
Fire,192.2,84.096,6.2,167.3
Yesterday Once More,,,,
Ruby Tuesday,,,,
Kansas City,,,,
Breathe Again,,,,
Let Me Blow Ya Mind,,,,
You Always Hurt the One You Love,,,,
I Hear You Knockin',,,,
Moonlight Shadow,,,,
I'm Your Man,,,,
Sexy and I Know It,,,,
The Sweetest Thing,,,,
Earth Song,,,,
"(I Got Spurs That) Jingle, Jangle, Jingle",,,,
Love is in the Air,,,,
I Had the Craziest Dream,,,,
F**k You/forget You,,,,
The Logical Song,,,,
Fireflies,,,,
I Don't Like Mondays,,,,
All My Lovin' (You're Never Gonna Get It),,,,
Live Your Life,,,,
Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini,,,,
Being With You,,,,
My Dreams Are Getting Better All the Time,,,,
"It's Been a Long, Long Time",,,,
American Idiot,,,,
Good Times,,,,
Too Shy,,,,
My Life,,,,
Let's Groove,,,,
Breakfast At Tiffany's,,,,
In the Shadows,,,,
War,266.8,60.448,6.9,180.0
Rag Mop,,,,
Boogie Oogie Oogie,,,,
Breathe,,,,
(Un Dos Tres) Maria,,,,
U Got it Bad,,,,
If (They Made Me a King),,,,
On Bended Knee,329.3,79.092,7.1,116.5
Summer Holiday,,,,
Babe,,,,
You Spin me 'round (Like a Record),,,,
"Hey, soul sister",,,,
True Colors,,,,
The Prisoner's Song,,,,
The Way You Make Me Feel,,,,
Islands in the Stream,,,,
(I Love You) For Sentimental Reasons,,,,
You Send Me,,,,
The Safety Dance,,,,
Young Love,,,,
Part-Time Lover,,,,
One More Night,286.0,65.592,11.3,136.3
Get Down Tonight,,,,
Close to You,,,,
"Hit the Road, Jack",,,,
School's Out,,,,
Bewitched (bothered & bewildered),,,,
No Matter What,,,,
I Went to Your Wedding,,,,
(I'll Never Be) Maria Magdalena,,,,
Hair,,,,
Stupid Girls,,,,
One O'Clock Jump,,,,
Drive,234.5,78.91,5.8,111.3
Feel,,,,
Ballad of Bonnie & Clyde,,,,
Maria Elena,,,,
Signs,,,,
Pump Up the Volume,,,,
Georgy Girl,,,,
Atlantis,,,,
Comin' in on a Wing & a Prayer,,,,
Loser,,,,
I Have Nothing,,,,
Do That to Me One More Time,,,,
Because I Love You (The Postman Song),,,,
We Will Rock You,119.8,84.745,5.5,161.9
Super Trouper,,,,
Go Your Own Way,,,,
Alive & Kicking,,,,
We've Only Just Begun,,,,
Mandy,,,,
Just Another Day,,,,
Loving You,161.7,59.342,12.6,171.0
Mary's Boy Child/Oh My Lord,,,,
Groovejet (If This Ain't Love),,,,
Don't Let Me Get Me,,,,
You Can't Hurry Love,,,,
I'll Be There For You,,,,
Rosanna,,,,
When You Wish Upon a Star,,,,
Club can't handle me,,,,
Until it Sleeps,,,,
Thank U,,,,
Little Willy,,,,
Down,197.5,55.012,12.5,85.5
Will You Love Me Tomorrow,159.8,66.23,9.8,68.3
Do You Love Me?,,,,
Apache,,,,
My Love is Your Love,,,,
The Morning After,,,,
Smoke! Smoke! Smoke! (That Cigarette),181.1,42.588,27.0,142.4
Terry's Theme From 'Limelight',,,,
Piece Of Me,,,,
Set Adrift On a Memory of Bliss,,,,
The Game of Love,,,,
You make Me Wanna,,,,
Love Generation,,,,
Africa,174.0,54.679,9.7,106.1
Leader of the Pack,,,,
Surf City,,,,
To Each His Own,,,,
Living On My Own,,,,
Welcome to the Black Parade,,,,
Closer,,,,
Viva Forever,,,,
My Man,,,,
Till I Waltz Again With You,,,,
Left Outside Alone,,,,
Dirty Diana,281.7,86.652,4.8,131.3
Let it Snow! Let it Snow! Let it Snow!,,,,
Don't Look Back in Anger,,,,
Every Time You Go Away,,,,
Sweet Georgia Brown,,,,
1-2 Step,,,,
Whole Again,,,,
Jive Talkin',,,,
Your Song,,,,
If I Could Turn Back Time,,,,
Material Girl,,,,
Burning Heart,,,,
(You Drive Me) Crazy,,,,
Rhythm of My Heart,,,,
Can't Stop This Thing We Started,,,,
Runaround Sue,,,,
Symphony,,,,
They Don't Care About Us,,,,
I've Never Been to Me,,,,
Georgia On My Mind,,,,
Wind It Up,,,,
I'm Like a Bird,,,,
Half As Much,148.2,58.365,17.1,142.9
Oh Carolina,,,,
Please Please Me,,,,
There Are Such Things,,,,
Cry Me a River,,,,
Colors of the Wind,,,,
Paranoid,,,,
Only Sixteen,,,,
What's Going On?,,,,
Justified & Ancient,,,,
Bennie & the Jets,,,,
Life,232.3,47.772,13.0,85.7
ABC,,,,
A Song Of Joy,,,,
Sherry,,,,
I'll Walk Alone,,,,
The Christmas Song (Chestnuts Roasting On An Open Fire),228.7,45.335,21.4,70.9
Love Grows (Where My Rosemary Goes),,,,
Cryin',308.8,87.254,3.9,105.8
"Chirpy, Chirpy, Cheep, Cheep",,,,
Freestyler,,,,
Yellow Rose of Texas,,,,
Touch Me,208.1,49.638,6.2,128.9
Emotions,,,,
Call me when you're sober,,,,
Boogie Wonderland,,,,
Smoke On the Water,,,,
50 Ways to Leave Your Lover,,,,
You're in My Heart (The Final Acclaim),,,,
Superstar,225.6,62.829,4.5,120.1
Heart,,,,
Mo Money Mo Problems,,,,
How Do You Mend a Broken Heart,,,,
Peg o' My Heart,,,,
Don't Leave Me This Way,,,,
The Last Dance,,,,
Peggy Sue,,,,
How am I Supposed to Live Without You?,,,,
If I Ever Lose My Faith in You,,,,
We Didn't Start the Fire,,,,
Play That Funky Music,,,,
You'll See,,,,
Hold It Against Me,,,,
Mama Told Me Not to Come,,,,
All the Man That I Need,,,,
Someday,262.8,46.808,9.2,100.0
I Like It,,,,
"To Sir, With Love",,,,
Ode To Billie Joe,,,,
Green Eyes,,,,
You're Makin' Me High,,,,
I Started a Joke,,,,
Thong Song,,,,
Kids in America,,,,
Tell it to My Heart,,,,
The Boxer,,,,
There! I've Said it Again,,,,
It's Raining Again,,,,
Father Figure,,,,
D'You Know What I Mean?,,,,
Bailamos,,,,
TSOP (The Sound of Philadelphia),,,,
Ballad of the Green Berets,,,,
Emotion,,,,
No More Tears (Enough is Enough),,,,
I'm With You,,,,
It Feels So Good,,,,
Rasputin,,,,
Mr Jones,,,,
Enter Sandman,,,,
Run Away,,,,
Coming Up,,,,
The Gypsy,,,,
Stagger Lee,315.1,68.158,9.3,153.8
Don't Cry,,,,
I Love Your Smile,,,,
Sunny Afternoon,,,,
All I Have,,,,
Magic,275.0,84.56,3.6,103.7
Wake Up Little Susie,,,,
Lucky,,,,
Last Train to Clarksville,,,,
Cara Mia,,,,
Convoy,,,,
Show Me the Meaning of Being Lonely,,,,
Wicked Game,,,,
King of the Road,,,,
Stardust,182.3,69.542,18.6,70.8
You Rock My World,,,,
The One,284.6,65.835,6.3,105.0
Everybody Hurts,,,,
Sheila,,,,
It's Gonna Be Me,,,,
Touch Me (I Want Your Body),,,,
Could've Been,,,,
"You're Sixteen, You're Beautiful (And You're Mine)",,,,
Wide Awake,,,,
Price Tag,,,,
Disco Duck,,,,
Boogie Nights,,,,
Doesn't Really Matter,,,,
Major Tom (Coming Home),,,,
Peppermint Twist,,,,
C'est La Vie,224.4,57.353,10.3,122.5
The Monster,,,,
White Rabbit,,,,
Sunny,,,,
1979,,,,
Never Can Say Goodbye,,,,
I Can't Stand the Rain,,,,
Regulate,,,,
Ac-cent-tchu-ate the Positive,,,,
Help Yourself,,,,
Goodies,,,,
Paparazzi,,,,
That's the Way it Is,,,,
Now Is the Hour (Maori Farewell Song),,,,
The Wanderer,,,,
Slide,,,,
Twilight Time,,,,
Dancing On the Ceiling,,,,
Makin' Whoopee,,,,
Yummy Yummy Yummy,,,,
Mysterious Ways,,,,
Revolution,443.4,54.723,4.3,85.3
I Finally Found Someone,,,,
Not afraid,,,,
Jay Ho (you Are My Destiny),,,,
Sex on Fire,,,,
Have I Told You Lately,,,,
A-Tisket A-Tasket,,,,
Puttin' on the Ritz,,,,
Donna,,,,
Baby Come Back,,,,
"Cold, Cold Heart",,,,
"Memphis, Tennessee",,,,
I'm Your Angel,,,,
Whatcha Say,,,,
C U When U Get There,,,,
Amapola (Pretty Little Poppy),,,,
Show Me the Way,,,,
Sometimes,207.6,61.179,9.0,105.7
Listen to Your Heart,,,,
Last Christmas,,,,
Notorious,,,,
What U Waitin' 4,,,,
Coward of the County,,,,
St Louis Blues,,,,
My Foolish Heart,,,,
Put Your Head On My Shoulder,,,,
The Way it Is,,,,
Angels,,,,
The Shoop Shoop Song (It's in His Kiss),,,,
Make Love to Me,,,,
Ain't it Funny,,,,
Heaven,,,,
Open Your Heart,,,,
Stormy Weather (Keeps Rainin' All the Time),,,,
Mellow Yellow,,,,
Come On Over Baby (All I Want is You),,,,
Space Oddity,,,,
La Camisa Negra,,,,
My Happy Ending,,,,
Payphone,,,,
The Glow-Worm,,,,
Release Me (And Let Me Love Again),,,,
Brother Louie,,,,
Kyrie,,,,
Fire & Rain,,,,
Red River Rock,,,,
Save Tonight,,,,
Moon River,162.0,32.198,22.1,92.3
Beds Are Burning,,,,
(You Keep Me) Hangin' On,,,,
Afternoon Delight,,,,
The Most Beautiful Girl,,,,
Hanky Panky,,,,
Groovin',230.8,59.899,5.4,140.0
You Don't Bring Me Flowers,,,,
Never Be the Same Again,,,,
Miss You Much,,,,
Where the Streets Have No Name,,,,
She Wants to Dance With Me,,,,
Poetry in Motion,,,,
With a Girl Like You,,,,
Non Ho L'Eta Per Amarti,,,,
Way Down,,,,
U & Ur Hand,,,,
One & One,,,,
Easy Lover,,,,
Happy Days Are Here Again,,,,
Wonderland By Night,,,,
Wind Beneath My Wings,255.8,63.611,9.8,142.2
Only Forever,,,,
September,,,,
Live Is Life,,,,
Cars,,,,
Walk Don't Run,,,,
Brown Eyed Girl,243.1,65.334,10.2,130.4
La Vie En Rose,,,,
Stuck in the Middle With You,,,,
Maria,278.6,54.197,8.1,120.4
Blue Velvet,,,,
Dreams,,,,
The Girl From Ipanema,,,,
Feelings,380.4,52.469,3.6,89.0
Cat's in the Cradle,,,,
When Love Takes Over,,,,
You Make Me Feel Brand New,,,,
Lessons in Love,,,,
Sacramento (A Wonderful Town),,,,
The Entertainer,,,,
Harden My Heart,,,,
You Needed Me,,,,
Everytime We Touch,,,,
Sara,,,,
I Don't Wanna Dance,,,,
Riders On the Storm,,,,
I'm Every Woman,,,,
Foolish,,,,
This Ain't a Love Song,,,,
Show Me Love,,,,
Freedom,287.7,70.72,6.3,85.7
Der Kommissar,,,,
More Than a Feeling,,,,
Why Don't You Believe Me?,,,,
A String of Pearls,,,,
Japanese Boy,,,,
Rag Doll,,,,
You Could Be Mine,,,,
Wipe Out,,,,
Human,,,,
Bus Stop,,,,
He Wasn't Man Enough,262.1,73.797,3.8,176.0
God Bless the Child,,,,
Time to Say Goodbye (Con Te Partiro),,,,
"Soley, Soley",,,,
You Call Everybody Darlin',,,,
Unwritten,,,,
Snoopy Vs the Red Baron,,,,
Rock 'n' Roll (Part 2),,,,
The Name of the Game,,,,
"This Ain't A Scene, It's An Arms Race",,,,
Unfaithful,,,,
Written in the Stars,,,,
I Wish I Was A Punk Rocker (With Flowers In My Hair),425.2,65.536,4.2,122.0
Stumblin' In,,,,
Our House,,,,
Live & Let Die,,,,
Get Lucky,,,,
Everything She Wants,,,,
Let's Spend the Night Together,,,,
Nobody Knows,,,,
Itchycoo Park,172.7,58.224,8.6,123.4
Barbara Ann,,,,
Papa Loves Mambo,,,,
Changes,,,,
St Elmo's Fire (Man in Motion),,,,
Jezebel,216.4,42.83,9.7,149.7
More & More,,,,
Erotica,,,,
Big Bad John,,,,
Return of the Mack,,,,
A Tree in the Meadow,,,,
Cambodia,,,,
Green River,,,,
Green Tambourine,,,,
Ebb Tide,216.2,51.994,26.9,80.6
Man in the Mirror,,,,
Down On the Corner,,,,
Sometimes Love Just Ain't Enough,,,,
Devil Gate Drive,,,,
Little Sister,225.7,52.884,6.9,117.0
Part of Me,,,,
All I Want For Christmas is my Two Front Teeth,,,,
It Had to Be You,,,,
Waka Waka (This Time For Africa),,,,
7 Nation Army,,,,
April Love,,,,
High Noon (Do Not Forsake Me),,,,
High,,,,
Buffalo Stance,,,,
Co-Co,,,,
Finally,276.6,45.43,9.3,99.1
I'm Your Boogie Man,274.3,9.213,10.7,120.0
Just My Imagination (Running Away With Me),,,,
Magic Fly,,,,
Stand By Your Man,159.6,60.612,13.6,105.2
Luka,,,,
Walk On the Wild Side,,,,
Jessie's Girl,,,,
Personality,,,,
Let's Get it Started,,,,
Milord,,,,
"Open The Door, Richard!",,,,
Rock With You,,,,
Livin' Thing,,,,
I Saw Her Standing There,,,,
Heartaches,,,,
Emotional Rescue,,,,
Bed of Roses,,,,
Gloria,262.7,60.616,8.1,100.0
Hey Baby,,,,
Under Pressure,,,,
Use Somebody,,,,
Body & Soul,,,,
White Room,,,,
Sail Along Silvery Moon,,,,
Here Without You,232.1,84.043,6.3,143.7
Shake You Down,,,,
Beep,,,,
It's Magic,,,,
Boom Boom Boom,,,,
All My Love,,,,
Pride (In the Name of Love),,,,
You Got it (The Right Stuff),,,,
Slippin' Around,,,,
"Brother, Can You Spare a Dime?",,,,
Sowing the Seeds of Love,,,,
(Marie's the Name) His Latest Flame,,,,
A Big Hunk O' Love,,,,
I Need Your Love Tonight,,,,
"De Do Do Do, De Da Da Da",,,,
Torn Between Two Lovers,,,,
What's Another Year,,,,
Baby Sittin' Boogie,,,,
Leave (Get Out),,,,
Rocket Man,,,,
Somewhere I Belong,,,,
This Guy's in Love With You,,,,
Like I Love You,,,,
The One & Only,,,,
Gimme Some Lovin',,,,
Domino Dancing,,,,
Be Without You,,,,
Slow Poke,182.3,40.807,14.0,133.8
The Sun Always Shines On TV,,,,
Angel of the Morning,,,,
Into Each Life Some Rain Must Fall,,,,
Rich Girl,216.3,66.492,5.7,178.8
What Do You Want to Make Those Eyes At Me For?,,,,
Whoomp! (There it Is),,,,
Lucille,259.4,27.953,9.2,146.8
Theme From 'Mahogany' (Do You Know Where You're Going To),,,,
It's Raining Men,,,,
Semi-Charmed Life,,,,
Love Child,,,,
Harbour Lights,,,,
The Edge of Heaven,,,,
What Makes You Beautiful,,,,
Big in Japan,,,,
Good Thing,,,,
Teenage Dirtbag,,,,
One of These Nights,,,,
I Can't Begin to Tell You,,,,
I Know There's Something Going On,,,,
Mrs Brown You've Got a Lovely Daughter,,,,
Sunshine of Your Love,,,,
Release Me,184.7,54.075,20.7,87.8
Why Can't We Live Together?,,,,
This Land is Your Land,,,,
Float On,,,,
Cream,,,,
Born to Run,,,,
Hold On Tight,180.8,47.715,7.9,128.1
Alejandro,,,,
My Blue Heaven,,,,
Annie's Song,,,,
Behind Blue Eyes,,,,
Lady Bump,,,,
He's So Fine,,,,
Dirrty,,,,
I've Gotta Get a Message to You,,,,
Love Will Never Do (Without You),,,,
Sunshine Superman,,,,
That's My Desire,,,,
Country House,,,,
We Are Never Ever Getting Back Together,,,,
The Good the Bad & the Ugly,,,,
Coming Out of the Dark,,,,
Put Your Hand in the Hand,,,,
Sweet Dreams,,,,
Midnight Train to Georgia,,,,
Look Away,,,,
I Honestly Love You,,,,
Whatta Man,,,,
Love Story,,,,
"California, Here I Come",,,,
Roxanne,,,,
Bang Bang (My Baby Shot Me Down),,,,
Nobody Wants to Be Lonely,,,,
3,465.5,94.733,6.3,132.0
Hang On Sloopy,,,,
If I Could Turn Back the Hands of Time,,,,
Good Timin',,,,
Passion,132.1,30.549,7.1,222.9
Jersey Bounce,,,,
Dreadlock Holiday,,,,
Come With Me,325.7,60.689,12.9,176.2
I Am... I Said,,,,
All Those Years Ago,,,,
Don't Lie,145.6,71.053,5.6,201.1
One Night,,,,
Saturday Night,,,,
This is How We Do It,,,,
Love is a Battlefield,,,,
I Wish it Would Rain Down,,,,
Yesterday Man,,,,
Mexico,,,,
The Tide is High (Get the Feeling),,,,
Rhythm of the Night,,,,
We Be Burnin',,,,
All By Myself,,,,
Love & Marriage,,,,
Freak Me,,,,
Right Back Where We Started From,,,,
A Man Without Love,,,,
Friday On My Mind,,,,
Let's Hear it For the Boy,,,,
The Monster Mash,,,,
With a Little Help From My Friends,,,,
"More, More, More",,,,
Cantaloop (Flip Fantasia),,,,
When I'm Gone,,,,
Love Me Do,,,,
Catch a Falling Star,,,,
Tiger Rag,,,,
Suga Suga,,,,
Lucky Lips,,,,
Boogie Fever,,,,
Take Me Out,,,,
One More Time,,,,
Theme From 'Mission Impossible',,,,
Gotta Tell You,,,,
Born Slippy,,,,
Summertime Blues,,,,
The Wild Ones,,,,
First Time,,,,
Shake Ya Tailfeather,,,,
I Only Have Eyes For You,,,,
Little Jeannie,,,,
How Will I Know,,,,
Travellin' Man,,,,
Like a g6,,,,
New Kid in Town,,,,
Ramblin' Rose,,,,
1999,,,,
Wrecking Ball,,,,
Now That We Found Love,,,,
Hurdy Gurdy Man,,,,
Stuck With You,,,,
La Tortura,,,,
If I Can't Have You,101.8,69.333,10.3,161.7
Touch My Body,273.5,93.494,5.6,130.0
Let's Talk About Sex,,,,
Sacrifice,,,,
The Flame,323.2,83.745,4.2,150.1
Dear Hearts & Gentle People,,,,
Move Ya Body,,,,
Don't Forget About Us,,,,
Have You Ever?,,,,
Lost in Your Eyes,,,,
Come On-a My House,214.3,36.63,10.3,171.5
"Hello, I Love You, Won't You Tell Me Your Name?",,,,
Over My Head (Cable Car),,,,
Sleeping Satellite,,,,
Give Me One Reason,,,,
Me & Mrs Jones,,,,
"No Woman, No Cry",,,,
Message in a Bottle,,,,
Hungry Like the Wolf,,,,
Island Girl,,,,
Scatman's World,,,,
Rumors Are Flying,,,,
Caribbean Queen (No More Love On the Run),,,,
She Works Hard For the Money,,,,
The Lion Sleeps Tonight,,,,
Glad All Over,,,,
Lollipop,,,,
Duke of Earl,,,,
All Star,,,,
It's Over,,,,
U Remind Me,,,,
Jeans On,,,,
"Shake, Rattle & Roll",,,,
Urgent,,,,
My Perogative,,,,
Working My Way Back to You,,,,
Insomnia,,,,
Paradise City,,,,
Strong Enough,,,,
Ain't No Sunshine,286.5,48.592,10.2,150.0
Then He Kissed Me,,,,
1 Thing,,,,
Man! I Feel Like a Woman!,,,,
Kiss On My List,,,,
The Carnival is Over,,,,
Jaded,,,,
Life is a Highway,,,,
Superman (It's Not Easy),,,,
Lucy in the Sky With Diamonds,,,,
What's My Name?,,,,
Magic Carpet Ride,,,,
Breathless,286.5,49.146,6.3,98.5
Wake Me Up When September Ends,,,,
Move Your Body,,,,
Rock 'n' Roll Waltz,,,,
Fading Like a Flower (Every Time You Leave),,,,
Anything,,,,
From a Distance,,,,
Shake It,,,,
"Gypsies, Tramps & Thieves",,,,
Better in Time,,,,
Bent,,,,
"He Ain't Heavy, He's My Brother",,,,
"Boom, Boom, Boom, Boom",,,,
Listen to What the Man Said,,,,
We Made You,,,,
Maybellene,,,,
Burning Love,,,,
Ring of Fire,,,,
"Can't Get Enough of Your Love, Babe",,,,
Time of the Season,,,,
Belfast,,,,
Midnight in Moscow,,,,
Ma belle amie,,,,
Dream Weaver,,,,
(You're) Having My Baby,,,,
Come Back & Stay,,,,
"Help Me, Rhonda",,,,
Don't Bring Me Down,,,,
Ooops Up,,,,
The End of the World,,,,
West End Blues,,,,
The Look of Love,,,,
Caldonia Boogie (What Makes Your Big Head So Hard),,,,
Rock 'n' Roll Music,,,,
Bright Eyes,,,,
Elmer's Tune,,,,
A New Day Has Come,,,,
Mouth,,,,
You Learn,,,,
Walk of Life,,,,
You'll Never Find Another Love Like Mine,,,,
Push It,207.6,69.234,5.7,127.6
I Wish,,,,
I Get Around,,,,
As Time Goes By,,,,
Black Magic Woman,,,,
Fever,,,,
My All,,,,
In My Head,,,,
It Never Rains in Southern California,,,,
Your Cheatin' Heart,,,,
Flat Beat,,,,
Just an Illusion,,,,
Chickery Chick,,,,
I'm Making Believe,,,,
Are You Gonna Be My Girl?,,,,
Firestarter,225.1,63.861,6.5,94.2
Don't Know Much,,,,
Star Wars Theme - Cantina Band,,,,
Cecilia,,,,
Pieces of Me,,,,
Goldfinger,,,,
Yakety Yak,,,,
The Girl is Mine,,,,
Pleasant Valley Sunday,,,,
Sweet Leilani,,,,
With a Little Luck,,,,
Stay Another Day,,,,
Beauty & the Beast,,,,
If,,,,
Sorry I'm a Lady,,,,
At Last,,,,
She Ain't Worth It,,,,
Sun Of Jamaica,,,,
Fade to Grey,,,,
The Best,,,,
Stuck,,,,
Holding Back the Years,,,,
Livin' On the Edge,,,,
Oh Julie,,,,
People Got to Be Free,,,,
Tossing & Turning,,,,
There goes my baby,,,,
Mercy Mercy Me (The Ecology),,,,
Last Kiss,,,,
Crazy Horses,,,,
They Can't Take That Away From Me,,,,
Give Me the Night,,,,
Get Up & Boogie (That's Right),,,,
Scar Tissue,,,,
Heaven Must Be Missing an Angel,,,,
Love Train,,,,
There Must Be an Angel (Playing With My Heart),,,,
You Give Me Something,,,,
When You're in Love With a Beautiful Woman,,,,
Kiss Me Quick,,,,
I Don't Wanna Fight,,,,
Let's Get Rocked,,,,
I Don't Wanna Lose You,,,,
Too-Ra-Loo-Ra-Loo-Ra,,,,
My Ding-A-Ling,,,,
A Moment Like This,,,,
Who'll Stop the Rain,,,,
I Hate This Part,,,,
Forever Your Girl,,,,
Circus,,,,
Dangerous,,,,
Black Cat,,,,
All Out of Love,,,,
Last Friday Night (TGIF),,,,
A Good Heart,,,,
Delta Dawn,,,,
Happy,231.4,49.427,7.0,98.0
Pump It,,,,
Baby Got Back,,,,
Spinning Wheel,,,,
Gives You Hell,,,,
Rhythm of the Rain,,,,
Have You Seen Her,273.6,45.66,6.5,117.3
Blues in the Night,,,,
My Eyes Adored You,,,,
This is the Life,,,,
Taking A Chance On Love,,,,
Hey Mama,,,,
The Old Lamplighter,,,,
Day After Day,,,,
